,song_name,song_link,song_id,song_uri,album_name,album_id,album_uri,artist_name,artist_id,artist_uri,duration_seconds,album_song_count,song_popularity,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_genres,album_genres
0,Un-Break My Heart,https://open.spotify.com/track/5Ihd9HrPvOADyVoonH9ZjB,5Ihd9HrPvOADyVoonH9ZjB,spotify:track:5Ihd9HrPvOADyVoonH9ZjB,Secrets,6rxtWZH5ua9eANwWdwwf9o,spotify:album:6rxtWZH5ua9eANwWdwwf9o,Toni Braxton,3X458ddYA2YcVWuVIGGOYe,spotify:artist:3X458ddYA2YcVWuVIGGOYe,270.333,12,67,1996-04-24,0.625,0.426,2,-8.392,0,0.0271,0.413,0.0,0.116,0.112,110.018,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'quiet storm', 'r&b', 'urban contemporary']",[]
2,Don't Let Go (Love),https://open.spotify.com/track/06TuMCjDEYjTOJScCRzmjf,06TuMCjDEYjTOJScCRzmjf,spotify:track:06TuMCjDEYjTOJScCRzmjf,EV3,3mn8mLqRknZCD8o7Ruy4BN,spotify:album:3mn8mLqRknZCD8o7Ruy4BN,En Vogue,5fikk4h5qbEebqK2Fc6e48,spotify:artist:5fikk4h5qbEebqK2Fc6e48,291.88,12,59,1997-06-17,0.618,0.688,5,-5.867,0,0.0477,0.409,6.32e-06,0.3,0.561,78.311,"['dance pop', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",[]
3,No Diggity (Karaoke-Version) As Made Famous By: Blackstreet Featuring Dr. Dre,https://open.spotify.com/track/138a7rJxyR3qKsLSPNO4uH,138a7rJxyR3qKsLSPNO4uH,spotify:track:138a7rJxyR3qKsLSPNO4uH,Instrumentals on Swag: 50 Beat Remakes,3I5AbShA8t20LeQgqTlm6e,spotify:album:3I5AbShA8t20LeQgqTlm6e,Studio Group,5CZ7oUAqi1RHO1hO5AJ6GH,spotify:artist:5CZ7oUAqi1RHO1hO5AJ6GH,267.052,50,1,2012-03-23,0.849,0.379,1,-10.546,0,0.0614,0.139,0.0917,0.0448,0.44,89.007,[],[]
5,Mouth,https://open.spotify.com/track/11Ki2bHWXTEug0DAfKcDDD,11Ki2bHWXTEug0DAfKcDDD,spotify:track:11Ki2bHWXTEug0DAfKcDDD,The Garden,3p5TJ1ksja0twSGpqPUU19,spotify:album:3p5TJ1ksja0twSGpqPUU19,Merril Bainbridge,0lSDlT2Z5EvUGNIl7WQ7k0,spotify:artist:0lSDlT2Z5EvUGNIl7WQ7k0,205.733,13,43,1995-07-31,0.695,0.499,1,-9.201,1,0.218,0.702,5.85e-05,0.154,0.78,175.896,[],[]
6,It's All Coming Back to Me Now,https://open.spotify.com/track/5EQzuYfTZt7B2LqlvTF49l,5EQzuYfTZt7B2LqlvTF49l,spotify:track:5EQzuYfTZt7B2LqlvTF49l,Falling into You,2vk0n8aeQSO74VtQBbNDPR,spotify:album:2vk0n8aeQSO74VtQBbNDPR,Céline Dion,4S9EykWXhStSc15wEx8QFK,spotify:artist:4S9EykWXhStSc15wEx8QFK,456.866,16,67,1996-02-28,0.384,0.438,0,-9.149,1,0.0361,0.753,0.0,0.101,0.286,87.624,"['canadian pop', 'dance pop']",[]
7,I'm Still In Love With You,https://open.spotify.com/track/46LEQkbfPT5x2ZanS3STg5,46LEQkbfPT5x2ZanS3STg5,spotify:track:46LEQkbfPT5x2ZanS3STg5,Home Again,6fRUYwwUOmQbuwe9KujqQG,spotify:album:6fRUYwwUOmQbuwe9KujqQG,New Edition,1mFX1QlezK1lNPKQJkhwWb,spotify:artist:1mFX1QlezK1lNPKQJkhwWb,279.666,13,52,1996-01-01,0.741,0.519,8,-4.683,0,0.0351,0.426,0.0,0.318,0.418,134.294,"['boy band', 'dance pop', 'funk', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",[]
8,Pony,https://open.spotify.com/track/6mz1fBdKATx6qP4oP1I65G,6mz1fBdKATx6qP4oP1I65G,spotify:track:6mz1fBdKATx6qP4oP1I65G,R&B: From Doo-Wop To Hip-Hop,4he7R24eqd1EbF9kegiAK8,spotify:album:4he7R24eqd1EbF9kegiAK8,Ginuwine,7r8RF1tN2A4CiGEplkp1oP,spotify:artist:7r8RF1tN2A4CiGEplkp1oP,251.733,39,72,1999-10-08,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'r&b', 'southern hip hop', 'urban contemporary']",[]
9,Where Do You Go,https://open.spotify.com/track/37tzoWY1ubBQKGXiWdO5Qv,37tzoWY1ubBQKGXiWdO5Qv,spotify:track:37tzoWY1ubBQKGXiWdO5Qv,My Promise,5CQHiljabLGvn72iQk0wsZ,spotify:album:5CQHiljabLGvn72iQk0wsZ,No Mercy,2tUGlReCZRMoRgl0IS79i3,spotify:artist:2tUGlReCZRMoRgl0IS79i3,272.093,15,58,1996-10-05,0.734,0.828,10,-11.018,0,0.0318,0.0346,0.118,0.071,0.964,127.06,"['boy band', 'eurodance', 'europop', 'hip house']",[]
10,If It Makes You Happy,https://open.spotify.com/track/5XrfFo0JFOnWD9ZMNXGkQh,5XrfFo0JFOnWD9ZMNXGkQh,spotify:track:5XrfFo0JFOnWD9ZMNXGkQh,Sheryl Crow,3w7TTi80vZApF0rQE5DMYb,spotify:album:3w7TTi80vZApF0rQE5DMYb,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,323.4,13,59,1996-01-01,0.543,0.681,7,-7.091,1,0.0289,0.0482,8.43e-05,0.104,0.292,95.415,"['folk', 'lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'singer-songwriter']",[]
11,When You Love A Woman,https://open.spotify.com/track/2Ie2PTlhSYqE7WG5l6QzrB,2Ie2PTlhSYqE7WG5l6QzrB,spotify:track:2Ie2PTlhSYqE7WG5l6QzrB,Trial By Fire,6ONz5nWyPfLUV7z5yvVCu7,spotify:album:6ONz5nWyPfLUV7z5yvVCu7,Journey,0rvjqX7ttXeg3mTy8Xscbt,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,246.986,16,54,1996,0.513,0.514,1,-5.819,1,0.0274,0.255,0.0,0.258,0.216,132.157,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",[]
